Station Id,Name,County,Status
1,Fresno/F.S.U. USDA,Fresno,Inactive
2,FivePoints,Fresno,Active
3,Beach /Santa Cruz CO,Santa Cruz,Inactive
4,Webb /Santa Cruz CO,Santa Cruz,Inactive
5,Shafter,Kern,Active
6,Davis,Yolo,Active
7,Firebaugh/Telles,Fresno,Active
8,Gerber,Tehama,Inactive
9,Lamont,Kern,Inactive
10,Bakersfield/Greenlee,Kern,Inactive
11,Bakersfield/Bonanza,Kern,Inactive
12,Durham,Butte,Active
13,Camino,El Dorado,Active
14,Orland,Glenn,Inactive
15,Stratford,Kings,Active
16,San Juan,Monterey,Inactive
17,El Centro,Imperial,Inactive
18,Westmorland,Imperial,Inactive
19,Castroville,Monterey,Inactive
20,Corcoran,Kings,Inactive
21,Kettleman,Kings,Inactive
22,Caruthers,Kings,Inactive
23,King City,Monterey,Inactive
24,Thermal,Riverside,Inactive
25,Rancho Mirage,Riverside,Inactive
26,Lost Hills,Kern,Inactive
27,Zamora,Yolo,Inactive
28,Soledad,Monterey,Inactive
29,Cantua Creek,Fresno,Inactive
30,Nicolaus,Sutter,Inactive
31,McFarland/Kern Farms,Kern,Inactive
32,Colusa,Colusa,Inactive
33,Visalia,Tulare,Inactive
34,Rancho California,Riverside,Inactive
35,Bishop,Inyo,Active
36,Blythe,Riverside,Inactive
37,USDA Salinas,Monterey,Inactive
38,Santa Maria,Santa Barbara,Inactive
39,Parlier,Fresno,Active
40,Mendota/MuriettaUSDA,Fresno,Inactive
41,Calipatria/Mulberry,Imperial,Active
42,Lodi,San Joaquin,Inactive
43,McArthur,Shasta,Active
44,U.C. Riverside,Riverside,Active
45,San Diego,San Diego,Inactive
46,MacDoel,Siskiyou,Inactive
47,Brentwood,Contra Costa,Active
48,Tulelake,Siskiyou,Inactive
49,Oceanside,San Diego,Inactive
50,Thermal,Riverside,Inactive
51,Healdsburg,Sonoma,Inactive
52,San Luis Obispo,San Luis Obispo,Active
53,Greenfield,Monterey,Inactive
54,Blackwells Corner,Kern,Active
55,Palm Desert,Riverside,Inactive
56,Los Banos,Merced,Active
57,Buntingville,Lassen,Inactive
58,Santa Paula,Ventura,Inactive
59,Tehachapi,Kern,Inactive
60,Barstow,San Bernardino,Inactive
61,Orland,Glenn,Inactive
62,Temecula,Riverside,Active
63,Novato,Marin,Inactive
64,Santa Ynez,Santa Barbara,Active
65,Walnut Creek,Contra Costa,Inactive
66,San Diego,San Diego,Inactive
67,Goleta,Santa Barbara,Inactive
68,Seeley,Imperial,Active
69,San Jose,Santa Clara,Inactive
70,Manteca,San Joaquin,Active
71,Modesto,Stanislaus,Active
72,Palo Verde,Imperial,Inactive
73,Hollywood Hills,Los Angeles,Inactive
74,Escondido,San Diego,Inactive
75,Irvine,Orange,Active
76,Betteravia,Santa Barbara,Inactive
77,Oakville,Napa,Active
78,Pomona,Los Angeles,Active
79,Angwin,Napa,Inactive
80,Fresno State,Fresno,Active
81,Shenandoah Valley,Amador,Inactive
82,Claremont,Los Angeles,Inactive
83,Santa Rosa,Sonoma,Active
84,Browns Valley,Yuba,Active
85,Hopland FS,Mendocino,Inactive
86,Lindcove,Tulare,Inactive
87,Meloland,Imperial,Active
88,Cuyama,Santa Barbara,Active
89,Salinas South,Monterey,Inactive
90,Alturas,Modoc,Active
91,Tulelake FS,Siskiyou,Active
92,Kesterson,Merced,Active
93,Lamont,Kern,Inactive
94,Goleta Foothills,Santa Barbara,Inactive
95,Watsonville,Santa Cruz,Inactive
96,Woodside,San Mateo,Inactive
97,Port Hueneme,Ventura,Inactive
98,Ramona,San Diego,Inactive
99,Santa Monica,Los Angeles,Active
100,Fremont,Alameda,Inactive
101,Piru,Ventura,Inactive
102,El Dorado,Los Angeles,Inactive
103,Windsor,Sonoma,Active
104,De Laveaga,Santa Cruz,Active
105,Westlands,Fresno,Active
106,Sanel Valley,Mendocino,Active
107,Santa Barbara,Santa Barbara,Active
108,Gerber Dryland,Tehama,Inactive
109,Carneros,Napa,Active
110,Newberry Springs,San Bernardino,Inactive
111,Green Valley Road,Santa Cruz,Inactive
112,San Ardo,Monterey,Inactive
113,King City-Oasis Rd.,Monterey,Active
114,Arroyo Seco,Monterey,Active
115,Gonzales,Monterey,Inactive
116,Salinas North,Monterey,Active
117,Victorville,San Bernardino,Active
118,Cathedral City,Riverside,Inactive
119,Putah Creek,Solano,Inactive
120,Guadalupe,Santa Barbara,Inactive
121,Dixon,Solano,Active
122,Hastings Tract,Solano,Inactive
123,Suisun Valley,Solano,Inactive
124,Panoche,Fresno,Active
125,Arvin-Edison,Kern,Active
126,San Benito,San Benito,Active
127,Salton Sea West,Imperial,Inactive
128,Salton Sea East,Imperial,Inactive
129,Pajaro,Monterey,Active
130,Temecula East,Riverside,Inactive
131,Fair Oaks,Sacramento,Active
132,Morgan Hill,Santa Clara,Inactive
133,Glendale,Los Angeles,Inactive
134,Barstow NE,San Bernardino,Inactive
135,Blythe NE,Riverside,Active
136,Oasis,Riverside,Active
137,Temecula East II,Riverside,Inactive
138,Famoso,Kern,Inactive
139,Winters,Solano,Active
140,Twitchell Island,Sacramento,Active
141,Mecca,Riverside,Inactive
142,Orange Cove,Fresno,Active
143,San Juan Valley,San Benito,Active
